Occurrence_Category,Occurrence_Group,Occurrence_Type_Group,Intersection,OBJECTID,Date Reported,x,y
Violent,Personal Violence,Assault,18 AV/32 ST,15724,2025/03/08,-12622271.3987,7066246.7766
Disorder,General Disorder,Suspicious Vehicle,165 ST/99 AV,15725,2025/03/20,-12646554.8509,7083051.9743
Non-Violent,Property,Theft Under $5000,131A AV/72 ST,15726,2025/03/20,-12629464.3811,7093117.9247
Non-Violent,Property,Theft Under $5000,50A ST/HABITAT CR,15727,2025/03/20,-12625669.0754,7093543.5513
Disorder,General Disorder,Trespassing,131 AV/FORT RD,15728,2025/03/20,-12627322.6178,7092938.2446
Non-Violent,Property,Theft Under $5000,137 AV/137 AV,15729,2025/03/20,-12625048.6376,7094220.1598
Non-Violent,Property,Theft Under $5000,106 AV/114 ST,15730,2025/03/20,-12636724.2987,7085350.6022
Non-Violent,Property,Theft of Motor Vehicle,5 ST/5 ST,15731,2025/03/20,-12617900.1441,7072590.8355
Disorder,Mischief/Graffiti,Mischief - Property,LEE RIDGE RD/LEE RIDGE RD,15732,2025/03/20,-12628151.5924,7070132.6119
Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,23 ST/27 AV,15733,2025/03/20,-12620829.3239,7067927.7886
Non-Violent,Property,Break and Enter Commercial,115 AV/128 ST,15734,2025/03/20,-12639533.0384,7088244.5379
Non-Violent,Property,Theft Over $5000,127 AV/127 AV,15735,2025/03/19,-12628520.8093,7091954.1682
Disorder,General Disorder,Trespassing,178 ST/89 AV,15736,2025/03/21,-12649246.1599,7080473.0577
Non-Violent,Property,Theft Under $5000,111 ST/82 AV,15737,2025/03/20,-12636746.1587,7079415.0653
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,102A AV/140 ST,15738,2025/03/19,-12641781.3157,7084214.7024
Disorder,General Disorder,Trouble with Person,137 AV/40 ST,15739,2025/03/20,-12623964.0541,7094483.7107
