Occurrence_Category,Occurrence_Group,Occurrence_Type_Group,Intersection,OBJECTID,Date Reported,x,y
Non-Violent,Property,Theft of Motor Vehicle,154 AV/156 AV,78183,2025/05/06,-12632426.6731,7097746.7968
Non-Violent,Property,Theft Under $5000,111 AV/KINGSWAY ,78184,2025/05/07,-12635203.2662,7087059.658
Non-Violent,Property,Theft Under $5000,138A AV/54A ST,78185,2025/05/07,-12626206.8039,7095187.0037
Violent,Personal Violence,Assault,114 ST/JASPER AV,78186,2025/05/07,-12636727.4348,7083692.3369
Disorder,General Disorder,Trouble with Person,27 AV/28 AV,78187,2025/05/07,-12624057.3947,7068279.568
Non-Violent,Property,Theft Under $5000,137 AV/50 ST,78188,2025/05/07,-12625108.1321,7094280.4437
Non-Violent,Property,Theft Under $5000,140 AV/66 ST,78189,2025/05/07,-12628407.7906,7095176.4791
Non-Violent,Property,Theft Over $5000,218 ST/STONY PLAIN RD,78190,2025/05/06,-12656406.8876,7083812.0915
Disorder,General Disorder,Trespassing,162 ST/80 AV,78191,2025/05/07,-12646009.5798,7078608.9826
Non-Violent,Property,Fraud - Financial,109 ST/83 AV,78192,2025/05/07,-12636158.7521,7079599.7478
Disorder,Provincial Statute Violations,Intoxicated Person,104 ST/99 AV,78193,2025/05/07,-12634678.9147,7082999.2749
Drugs,Drug Violations,Drugs,128 AV/73 ST,78194,2025/05/07,-12629638.2154,7092147.6678
Disorder,Mischief/Graffiti,Mischief - Property,130 ST/117A AV,78195,2025/05/07,-12639908.5866,7089014.2316
Disorder,General Disorder,Trouble with Person,ALBANY PL/ALBANY PL,78196,2025/05/07,-12641106.7983,7100426.6793
Non-Violent,Property,Theft Under $5000,114 ST/158 AV,78197,2025/05/07,-12637704.3005,7098524.018
Non-Violent,Property,Theft Under $5000,137 AV/137 AV,78198,2025/05/07,-12625048.6376,7094220.1598
Non-Violent,Property,Break and Enter Residential,149 AV/53 ST,78199,2025/05/17,-12626113.4059,7097067.9702
Non-Violent,Property,Theft Over $5000,EAUX CLAIRES TC/EAUX CLAIRES TC,78200,2025/05/09,-12633776.0644,7098177.088
Non-Violent,Property,Break and Enter Residential,126 ST/49 AV,78201,2025/05/09,-12640167.4959,7073348.9548
Violent,Personal Violence,Assault,138 ST/CUMBERLAND RD,78202,2025/05/09,-12641220.7569,7096283.3605
Non-Violent,Property,Theft Under $5000,ELLERSLIE RD SW/111 ST SW,78203,2025/05/08,-12636701.2989,7061981.4353
Weapons,Weapons Violations,Weapons Complaint Firearm,106 ST/107 AV,78204,2025/05/10,-12635086.6039,7085652.5205
Non-Violent,Property,Theft Under $5000,111 ST/98 AV,78205,2025/05/10,-12636110.9219,7082702.1256
Non-Violent,Property,Theft Under $5000,WINTERBURN RD/WINTERBURN RD,78206,2025/05/10,-12655790.0319,7078041.1539
Disorder,General Disorder,Trouble with Person,110 AV/113 ST,78207,2025/05/10,-12636520.9859,7086635.0697
Disorder,General Disorder,Suspicious Person,105 AV/180 ST,78208,2025/05/09,-12649543.5388,7085127.7608
Non-Violent,Property,Theft Under $5000,119 AV/81 ST,78209,2025/05/10,-12630922.6401,7089502.2498
Non-Violent,Property,Break and Enter Residential,129 AV/114 ST,78210,2025/05/10,-12636795.018,7092431.9258
Non-Violent,Property,Theft Under $5000,48 AV/CALGARY TR,78211,2025/05/10,-12634194.1239,7073320.7994
Non-Violent,Property,Theft Under $5000,118A AV/185 ST,78212,2025/05/10,-12650812.4679,7089219.8981
Disorder,Disputes/Disturbances,Dispute,101 AV/80 ST,78213,2025/05/08,-12629301.2287,7083743.365
Disorder,General Disorder,Trespassing,2 AV SW/51A ST SW,78214,2025/05/10,-12626015.4504,7062974.9402
Non-Violent,Property,Theft of Motor Vehicle,MCCONACHIE DR/MCDONOUGH WY,78215,2025/05/10,-12626637.3625,7101145.9394
Disorder,General Disorder,Suspicious Vehicle,100 AV/186 ST,78216,2025/05/08,-12651078.5015,7082961.9572
Violent,Personal Violence,Assault,107 AV/108 ST,78217,2025/05/10,-12635496.6016,7085651.6523
Disorder,Mischief/Graffiti,Mischief - Property,27 AV/SADDLEBACK RD,78218,2025/05/08,-12638096.5826,7068463.4543
Disorder,General Disorder,Trespassing,101 ST/103A AV,78219,2025/05/10,-12634063.2737,7084665.5684
Non-Violent,Property,Fraud General,34 AV/92 ST,78220,2025/05/09,-12631440.4333,7069553.6589
Violent,Personal Violence,Assault,204 ST/HEMINGWAY RD,78221,2025/05/10,-12653979.1788,7073739.0021
Non-Violent,Property,Fraud General,121 AV/97 ST,78222,2025/05/09,-12633900.9313,7090099.8904
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Criminal Flight Event,170 ST/STONY PLAIN RD,78223,2025/05/10,-12647551.1327,7083761.2245
Non-Violent,Property,Theft Under $5000,23 AV/HEWES WY,78224,2025/05/10,-12626335.6415,7067476.7175
Non-Violent,Property,Theft Under $5000,137 AV/50 ST,78225,2025/05/16,-12625108.1321,7094280.4437
Violent,Personal Violence,Robbery Commercial,137 AV/137 AV,78226,2025/05/15,-12625213.8165,7094194.6294
Disorder,General Disorder,Suspicious Person,124A AV/52 ST,78227,2025/05/16,-12626023.6239,7091218.0101
Non-Violent,Property,Theft Under $5000,105 AV/157 ST,78228,2025/05/12,-12645020.0518,7085146.0263
Non-Violent,Property,Theft Under $5000,123A ST/138 AV,78229,2025/05/16,-12638651.2484,7094849.6181
Non-Violent,Property,Fraud General,111 AV/KINGSWAY ,78230,2025/05/15,-12637398.478,7088630.7819
Violent,Personal Violence,Assault,213 ST/94 AV,78231,2025/05/16,-12655481.4588,7081745.3998
Violent,Personal Violence,Assault,ALBERTA HOSPITAL RD-1/ALBERTA HOSPITAL RD-1,78232,2025/05/15,-12620938.7077,7104031.4283
Non-Violent,Property,Theft Under $5000,114 ST/87 AV,78233,2025/05/16,-12637607.1698,7080313.2322
Disorder,General Disorder,Suspicious Person,21 AV/99 ST,78234,2025/05/15,-12633201.7666,7066942.5585
Non-Violent,Property,Fraud General,51 AV/51 AV,78235,2025/05/13,-12632388.2484,7073806.4308
Disorder,Provincial Statute Violations,Intoxicated Person,38 ST/136A AV,78236,2025/05/16,-12623625.1187,7094377.094
Non-Violent,Property,Fraud General,159 ST/PATRICIA DR,78237,2025/05/16,-12645273.1302,7077636.0124
Drugs,Drug Violations,Drugs,103 AV/96 ST,78238,2025/05/17,-12632910.2476,7084714.4067
Non-Violent,Property,Theft Under $5000,23 AV/23 AV,78239,2025/05/15,-12622615.2161,7067392.7416
Disorder,Mischief/Graffiti,Mischief - Property,112A ST/37 AV,78240,2025/05/16,-12637250.2255,7070703.9422
Disorder,General Disorder,Trouble with Person,11 AV SW/173 ST SW,78241,2025/05/17,-12647959.5398,7061719.8397
Non-Violent,Property,Fraud - Financial,111 AV/130 ST,78242,2025/05/16,-12639906.027,7087056.5844
Non-Violent,Property,Theft Under $5000,111 AV/163 ST,78243,2025/05/16,-12646263.7254,7087093.756
Violent,Personal Violence,Assault,100 ST/106 AV,78244,2025/05/17,-12633861.7194,7085368.8038
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,127 AV/127 ST,78245,2025/05/15,-12639346.3155,7091942.6288
Non-Violent,Property,Theft Under $5000,82 AV/83 ST,78246,2025/05/16,-12629840.8118,7079411.5633
Non-Violent,Property,Theft Under $5000,59 ST/FORT RD,78247,2025/05/17,-12627208.9944,7093121.7712
Non-Violent,Property,Theft Under $5000,100 AV/100 AV,78248,2025/05/16,-12649050.8662,7083118.5691
Non-Violent,Property,Break and Enter Residential,179 ST/99A AV,78249,2025/05/12,-12649082.746,7082939.4641
Violent,Personal Violence,Assault,42 AV/42 AV,78250,2025/05/16,-12618299.5954,7072150.1659
Violent,Personal Violence,Assault,82 AV/89 ST,78251,2025/05/15,-12630798.5059,7079422.324
Violent,Personal Violence,Assault,37 ST/166 AV,78252,2025/05/17,-12623687.2509,7099603.6974
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,NOT NAMED RD/STONY PLAIN RD,78253,2025/05/17,-12650743.1577,7083713.1785
Violent,Personal Violence,Assault,18 ST/FORT RD,78254,2025/05/16,-12620171.4166,7101479.1657
Non-Violent,Property,Break and Enter Commercial,184 ST/184 ST,78255,2025/05/12,-12650298.8967,7090594.2835
Non-Violent,Property,Theft Under $5000,102 AV/156 ST,78256,2025/05/17,-12644816.8474,7084134.1753
Non-Violent,Property,Theft Under $5000,50A ST/HABITAT CR,78257,2025/05/17,-12625669.0754,7093543.5513
Disorder,Provincial Statute Violations,Intoxicated Person,124A AV/77 ST,78258,2025/05/16,-12630258.3514,7089339.966
Disorder,Disputes/Disturbances,Disturbance,204 ST/204 ST,78259,2025/05/17,-12653837.8717,7068152.2491
Non-Violent,Property,Theft Under $5000,140 AV/38 ST,78260,2025/05/12,-12623455.7253,7095389.0534
Non-Violent,Property,Fraud General,56 AV/GATEWAY BV,78261,2025/05/15,-12633868.4458,7074437.2347
Non-Violent,Property,Fraud - Financial,13 AV SW/13 AV SW,78262,2025/05/13,-12645073.1178,7061435.6347
Non-Violent,Property,Fraud - Financial,110 ST/175 AV,78263,2025/05/13,-12636238.2572,7101896.338
Disorder,General Disorder,Suspicious Vehicle,182 ST SW/182 ST SW,78264,2025/05/13,-12649954.8722,7059740.3057
Non-Violent,Property,Theft Under $5000,28 AV/28 AV,78265,2025/05/13,-12627031.2218,7068255.8935
Non-Violent,Property,Fraud Personal,204 ST/204 ST,78266,2025/05/13,-12653837.8717,7068152.2491
Disorder,Mischief/Graffiti,Mischief - Property,101 ST/105A AV,78267,2025/05/13,-12634063.1299,7085140.6575
Disorder,Mischief/Graffiti,Mischief - Property,169 ST/88 AV,78268,2025/05/13,-12647456.505,7080471.9755
Non-Violent,Property,Theft Under $5000,137 AV/56 ST,78269,2025/05/12,-12626562.7528,7094653.40169999
Disorder,General Disorder,Trouble with Person,DAVIDSON WN SW/DESROCHERS DR SW,78270,2025/05/13,-12640616.597,7057206.3492
Non-Violent,Property,Theft Over $5000,105 ST/102 AV,78271,2025/05/13,-12634881.5141,7084078.668
Non-Violent,Property,Fraud General,23 AV/23 AV,78272,2025/05/13,-12642147.0345,7067414.7103
Violent,Personal Violence,Assault,105A AV/96 ST,78273,2025/05/13,-12633093.7761,7085363.9848
Non-Violent,Property,Internet Fraud,92 ST/94 AV,78274,2025/05/13,-12631240.4624,7081792.0531
Disorder,General Disorder,Suspicious Person,103 ST/105 AV,78275,2025/05/13,-12634475.0834,7084979.37919999
Non-Violent,Property,Theft Under $5000,102 ST/80 AV,78276,2025/05/13,-12634036.2041,7079048.2363
Non-Violent,Property,Break and Enter Residential,110 ST/76 AV,78277,2025/05/12,-12636434.5761,7078318.8025
Non-Violent,Property,Theft Under $5000,50A ST/HABITAT CR,78278,2025/05/13,-12625669.0754,7093543.5513
Disorder,Mischief/Graffiti,Mischief - Property,149 AV/69 ST,78279,2025/05/12,-12628689.7746,7096668.5828
Disorder,General Disorder,Trouble with Person,HOMESTEAD CR/HOOPER CR,78280,2025/05/11,-12623442.3177,7091762.032
Non-Violent,Property,Theft Under $5000,105 ST/82 AV,78281,2025/05/13,-12634813.7965,7079409.5831
Disorder,Disputes/Disturbances,Disturbance,27 ST/43A AV,78282,2025/05/09,-12621674.089,7072544.279
Disorder,General Disorder,Suspicious Person,73 ST/90 AV,78283,2025/05/12,-12628067.7825,7080724.1344
Non-Violent,Property,Break and Enter Residential,157 ST/97 AV,78284,2025/05/13,-12645012.0063,7082509.0996
Non-Violent,Property,Fire Arson,169 ST/92 AV,78285,2025/05/12,-12647454.1651,7081039.8488
Non-Violent,Property,Theft Under $5000,111 AV/KINGSWAY ,78286,2025/05/13,-12637398.478,7088630.7819
Non-Violent,Property,Theft Under $5000,116 ST/92 AV,78287,2025/05/13,-12638177.1633,7081251.2683
Non-Violent,Property,Possession Stolen Property,97 ST/153 AV,78288,2025/05/13,-12633854.5825,7097396.1753
Disorder,Disputes/Disturbances,Dispute,141 AV/21A ST,78289,2025/05/12,-12620766.2786,7095623.2272
Drugs,Drug Violations,Drugs,153 ST/111 AV,78290,2025/05/13,-12644137.0628,7087053.8342
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Criminal Flight Event,129 AV/175 ST,78291,2025/05/09,-12648460.9671,7092843.3952
Non-Violent,Property,Break and Enter Commercial,77 ST/ARGYLL RD,78292,2025/05/13,-12628669.5006,7077332.5826
Violent,Personal Violence,Assault,41 AV/74 ST,78293,2025/05/13,-12629186.0733,7072036.0656
Violent,Personal Violence,Assault,111 ST/111 ST,78294,2025/05/13,-12636597.136,7073730.6847
Non-Violent,Property,Break and Enter Residential,43A AV/43A AV,78295,2025/05/13,-12618612.1323,7072514.7281
Disorder,Mischief/Graffiti,Mischief - Property,149 AV/72 ST,78296,2025/05/13,-12629093.7109,7096666.6338
Violent,Personal Violence,Assault,31 AV/YOUVILLE DR,78297,2025/05/21,-12627229.4864,7068988.6429
Non-Violent,Property,Theft of Motor Vehicle,121 AV/79 ST,78298,2025/05/21,-12630512.3809,7090099.261
Non-Violent,Property,Theft Under $5000,119 ST/135A AV,78299,2025/05/21,-12637750.5524,7094359.0184
Non-Violent,Property,Fraud Personal,120 AV/71 ST,78300,2025/05/21,-12629268.6608,7089803.7604
Non-Violent,Property,Fraud General,158 AV/72 ST,78301,2025/05/20,-12629497.3153,7098673.3578
Non-Violent,Property,Theft Under $5000,137 AV/137 AV,78302,2025/05/21,-12625048.6376,7094220.1598
Non-Violent,Property,Fraud General,24 AV/81 ST,78303,2025/05/15,-12629700.2343,7067274.2692
Non-Violent,Property,Theft Over $5000,107 ST/71 AV,78304,2025/05/21,-12635464.9762,7077433.4265
Non-Violent,Property,Theft Under $5000,123A ST/137 AV,78305,2025/05/21,-12638651.3676,7094666.3579
Non-Violent,Property,Theft Under $5000,170 ST/95 AV,78306,2025/05/21,-12647670.0749,7081970.5045
Non-Violent,Property,Theft Under $5000,112 AV/143 ST,78307,2025/05/21,-12642274.3451,7087351.4422
Non-Violent,Property,Fraud - Financial,66 ST/23 AV,78308,2025/05/19,-12627473.7782,7067417.4023
Disorder,General Disorder,Trouble with Person,21 AV/48 ST,78309,2025/05/20,-12625407.8126,7067373.8821
Non-Violent,Property,Break and Enter Residential,35 AV SW/JAMES MOWATT TR SW,78310,2025/05/21,-12639305.2163,7057563.4189
Non-Violent,Property,Fire Arson,117 AV/88 ST,78311,2025/05/21,-12632170.4395,7088929.9768
Disorder,General Disorder,Trouble with Person,104 ST/81 AV,78312,2025/05/21,-12634497.3833,7079222.1682
Violent,Personal Violence,Assault,100A ST/102 ST,78313,2025/05/21,-12633907.6344,7084434.3366
Violent,Personal Violence,Assault,105 ST/119 AV,78314,2025/05/21,-12634881.0701,7089502.4984
Non-Violent,Property,Theft Under $5000,156 ST/105 AV,78315,2025/05/21,-12644822.263,7085145.9458
Non-Violent,Property,Theft Under $5000,140 AV/69 ST,78316,2025/05/21,-12628932.3688,7095266.8173
Violent,Personal Violence,Assault,92 AV/177A ST,78317,2025/05/09,-12649122.7376,7081056.9365
Non-Violent,Property,Fraud General,158 AV/37 ST,78318,2025/05/08,-12623393.0357,7098341.7476
Non-Violent,Property,Fraud - Financial,121 AV/49 ST,78319,2025/05/08,-12625506.3677,7090087.448
Non-Violent,Property,Theft Over $5000,77 AV/77 ST,78320,2025/05/08,-12628753.1322,7078505.4094
Violent,Personal Violence,Robbery Commercial,KNOTTWOOD RD/MILL WOODS RD,78321,2025/05/09,-12628396.6789,7065844.6199
Non-Violent,Property,Theft Under $5000,115 AV/117 ST,78322,2025/05/09,-12637206.4743,7088314.5249
Non-Violent,Property,Theft Over $5000,KESWICK DR SW/KESWICK DR SW,78323,2025/05/09,-12648090.3636,7059924.2454
Disorder,Disputes/Disturbances,Disturbance,35A AV/60 ST,78324,2025/05/09,-12626910.7715,7070367.6273
Non-Violent,Property,Possession Stolen Property,103 AV/112 ST,78325,2025/05/09,-12636311.871,7084375.7978
Non-Violent,Property,Theft Under $5000,107 AV/170 ST,78326,2025/05/19,-12647613.1945,7086009.7292
Non-Violent,Property,Break and Enter Residential,JAMES CR/JELLETT WY,78327,2025/05/18,-12625274.2007,7072748.2575
Non-Violent,Property,Break and Enter Residential,117 ST/46 AV,78328,2025/05/18,-12638571.4155,7072994.2329
Disorder,General Disorder,Trouble with Person,28 AV/YOUVILLE DR,78329,2025/05/20,-12626469.9686,7068443.8341
Non-Violent,Property,Theft Under $5000,21 ST/43A AV,78330,2025/05/19,-12621015.4606,7072220.8483
Weapons,Weapons Violations,Weapons Complaint Firearm,101 ST/JASPER AV,78331,2025/05/19,-12634064.0686,7083690.2726
Drugs,Drug Violations,Drugs,100A ST/JASPER AV,78332,2025/05/19,-12633872.5256,7083710.6323
Non-Violent,Property,Fire Arson,91 ST SW/91 ST SW,78333,2025/05/13,-12631887.3804,7061715.1642
Disorder,Disputes/Disturbances,Disturbance,KEENE CR SW/KESWICK DR SW,78334,2025/05/18,-12648021.8245,7060670.8267
Non-Violent,Property,Theft Under $5000,119 AV/WAYNE GRETZKY DR,78335,2025/05/18,-12629603.466,7089507.9693
Weapons,Weapons Violations,Weapons Complaint,100 ST/103 AV,78336,2025/05/19,-12633771.0699,7084551.5643
Disorder,Provincial Statute Violations,Intoxicated Person,21 ST/21 ST,78337,2025/05/20,-12620601.2885,7066545.4108
Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,118A AV/WINTERBURN RD,78338,2025/05/20,-12655792.5939,7088681.9287
Non-Violent,Property,Fraud General,106 AV/109 ST,78339,2025/05/19,-12635701.0815,7085351.5637
Disorder,General Disorder,Suspicious Vehicle,107 AV/142 ST,78340,2025/05/14,-12642158.8137,7085610.484
Non-Violent,Property,Fraud Personal,139 ST/152 AV,78341,2025/05/14,-12641448.7025,7097328.8138
Disorder,Disputes/Disturbances,Dispute,135 ST/135 ST,78342,2025/05/19,-12640939.1385,7099314.39599999
Non-Violent,Property,Possession Stolen Property,134 AV/89 ST,78343,2025/05/20,-12632226.3994,7093872.4964
Non-Violent,Property,Theft Under $5000,73 AV/73 AV,78344,2025/05/18,-12636863.201,7077962.98439999
Non-Violent,Property,Theft Under $5000,66 AV/93 ST,78345,2025/05/19,-12631465.8004,7076568.8993
Weapons,Weapons Violations,Weapons Complaint,100 ST/103 AV,78346,2025/05/20,-12633771.0699,7084551.5643
Non-Violent,Property,Theft Under $5000,113 ST/JASPER AV,78347,2025/05/20,-12636522.5649,7083690.94
Weapons,Weapons Violations,Weapons Complaint Firearm,103A AV/96 ST,78348,2025/05/20,-12632955.6873,7084877.394
Weapons,Weapons Violations,Weapons Complaint,108 ST/31 AV,78349,2025/05/20,-12635726.1964,7068989.9317
Non-Violent,Property,Theft Under $5000,170 ST/95 AV,78350,2025/05/14,-12647670.0749,7081970.5045
Non-Violent,Property,Theft Under $5000,NORTHGATE TC/NORTHGATE TC,78351,2025/05/19,-12633448.0618,7094730.8773
Disorder,Provincial Statute Violations,Intoxicated Person,27 AV/79 ST,78352,2025/05/14,-12629596.8425,7068117.6607
Non-Violent,Property,Theft of Motor Vehicle,140 AV/64 ST,78353,2025/05/19,-12628117.6607,7095175.9733
Non-Violent,Property,Break and Enter Commercial,159 ST/STONY PLAIN RD,78354,2025/05/20,-12645407.7345,7083757.6344
Disorder,Mischief/Graffiti,Mischief - Property,102 AV/102 ST,78355,2025/05/20,-12634268.3546,7084091.8073
Disorder,General Disorder,Trouble with Person,119 ST/87 AV,78356,2025/05/20,-12638794.6094,7080346.4792
Non-Violent,Property,Theft Under $5000,196 ST/26 AV,78357,2025/05/20,-12652556.8074,7068149.9009
Violent,Personal Violence,Robbery Commercial,109 ST/23 AV,78358,2025/05/19,-12635776.7334,7067387.7407
Non-Violent,Property,Internet Fraud,110A ST/110A ST,78359,2025/05/19,-12636445.5901,7067924.6152
Disorder,Disputes/Disturbances,Disturbance,73 ST/77 AV,78360,2025/05/19,-12628067.4438,7078505.7089
Non-Violent,Property,Theft Under $5000,100 AV/100 AV,78361,2025/05/19,-12647852.3762,7083378.1847
Non-Violent,Property,Theft Under $5000,107 AV/107 AV,78362,2025/05/20,-12647059.7888,7085863.1511
Non-Violent,Property,Theft Under $5000,MANNING DR/MANNING DR,78363,2025/05/20,-12623646.0663,7098324.2431
Disorder,Mischief/Graffiti,Mischief - Property,123 AV/125 ST,78364,2025/05/20,-12638964.0273,7090590.9344
Non-Violent,Property,Theft Under $5000,101 ST/21 AV,78365,2025/05/20,-12633396.4834,7066934.6697
Non-Violent,Property,Theft Under $5000,23 AV/HEWES WY,78366,2025/05/20,-12626335.6415,7067476.7175
Non-Violent,Abandoned/Recovered/Seized Vehicles,Abandoned Vehicle,17 ST/19 AV,78367,2025/05/20,-12620195.6857,7066751.012
Non-Violent,Property,Theft Under $5000,106 AV/108 ST,78368,2025/05/20,-12635495.7943,7085353.4138
Non-Violent,Property,Theft Under $5000,127 ST/132 AV,78369,2025/05/20,-12639345.0687,7093296.7665
Disorder,General Disorder,Trespassing,111 ST/111 ST,78370,2025/05/20,-12636597.136,7073730.6847
Non-Violent,Property,Fraud Personal,164 AV/164 AV,78371,2025/05/20,-12625117.7606,7099643.6443
Violent,Personal Violence,Assault,50A ST/56 ST,78372,2025/05/19,-12625669.8204,7093324.1159
Violent,Personal Violence,Assault,175A AV/MCCONACHIE BV,78373,2025/05/19,-12626557.3583,7101784.2544
Non-Violent,Property,Internet Fraud,104 ST/78 AV,78374,2025/05/15,-12634494.4112,7078690.1981
Disorder,Mischief/Graffiti,Mischief - Property,73 ST/76 AV,78375,2025/05/11,-12628067.6493,7078319.449
Non-Violent,Property,Theft Under $5000,103 AV/MAYFIELD COMMON RD,78376,2025/05/14,-12647398.9735,7084423.9299
Non-Violent,Property,Theft Under $5000,184 ST/92 AV,78377,2025/05/14,-12650589.4807,7081048.0217
Non-Violent,Property,Theft Under $5000,105 ST/25 AV,78378,2025/05/15,-12634910.2504,7067777.334
Drugs,Drug Violations,Drugs,105 AV/170 ST,78379,2025/05/16,-12647585.2297,7085130.9346
Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,149 AV/26 ST,78380,2025/05/15,-12621253.8714,7096993.7033
Non-Violent,Property,Break and Enter Commercial,105 AV/170 ST,78381,2025/05/16,-12647585.2297,7085130.9346
Non-Violent,Property,Theft Under $5000,104 AV/104 AV,78382,2025/05/15,-12634471.6662,7084673.5439
Disorder,General Disorder,Trouble with Person,102 ST/104 AV,78383,2025/05/14,-12634267.7114,7084671.3375
Non-Violent,Property,Theft Under $5000,23 AV/98 ST,78384,2025/05/11,-12632862.5599,7067351.5733
Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,139 AV/26 ST,78385,2025/05/14,-12621658.5542,7095205.7024
Non-Violent,Property,Break and Enter Residential,180 ST/STONY PLAIN RD,78386,2025/05/16,-12649542.9182,7083693.2184
Non-Violent,Property,Theft Under $5000,108 ST/40 AV,78387,2025/05/14,-12636012.3785,7071497.6722
Non-Violent,Property,Theft Under $5000,124 AV/77 ST,78388,2025/05/16,-12630307.7229,7090982.2473
Non-Violent,Property,Theft of Motor Vehicle,39 ST/10 AV,78389,2025/05/15,-12623837.4482,7064470.0371
Violent,Personal Violence,Assault,31 AV/50 ST,78390,2025/05/14,-12625972.0212,7068919.9075
Disorder,General Disorder,Trouble with Person,105 ST/107 AV,78391,2025/05/16,-12634825.4857,7085652.5145
Disorder,General Disorder,Trouble with Person,186 ST/89 AV,78392,2025/05/14,-12650815.0564,7080429.2756
Non-Violent,Property,Theft Under $5000,111 ST/111 ST,78393,2025/05/15,-12636597.136,7073730.6847
Non-Violent,Property,Theft Under $5000,133 ST/140 AV,78394,2025/05/16,-12640396.5217,7095064.0088
Non-Violent,Property,Break and Enter Residential,143 AV/21 ST,78395,2025/05/15,-12620497.6256,7095804.1557
Non-Violent,Property,Theft Over $5000,100 AV/106 ST,78396,2025/05/15,-12635087.6242,7083296.3779
Non-Violent,Property,Theft Under $5000,48 AV/CALGARY TR,78397,2025/05/16,-12634194.1239,7073320.7994
Non-Violent,Property,Theft Under $5000,103 AV/96 ST,78398,2025/05/16,-12632910.2476,7084714.4067
Disorder,Mischief/Graffiti,Mischief - Property,107 ST/85 AV,78399,2025/05/15,-12635464.0352,7079953.51
Disorder,Mischief/Graffiti,Mischief - Property,104 ST/99 AV,78400,2025/05/15,-12634678.9147,7082999.2749
Non-Violent,Property,Theft Under $5000,175 ST/90 AV,78401,2025/05/12,-12648519.1839,7080697.9059
Non-Violent,Property,Internet Fraud,82 ST/98 AV,78402,2025/05/15,-12629565.6617,7083029.5436
Non-Violent,Property,Theft of Motor Vehicle,CRAWFORD LK SW/CHIVERS LP SW,78403,2025/05/16,-12645754.6867,7056950.9135
Non-Violent,Property,Fraud General,149 AV/69 ST,78404,2025/05/15,-12628689.7746,7096668.5828
Non-Violent,Property,Theft Under $5000,101 ST/33 AV,78405,2025/05/16,-12632853.0134,7069814.8759
Violent,Personal Violence,Assault,113 AV/82 ST,78406,2025/05/16,-12631124.1459,7087777.1838
Disorder,Mischief/Graffiti,Mischief - Property,ORCHARDS BV SW/ORCHARDS BV SW,78407,2025/05/12,-12629368.7462,7058369.8017
Non-Violent,Property,Theft Under $5000,123A ST/137 AV,78408,2025/05/16,-12638651.3676,7094666.3579
Disorder,General Disorder,Trouble with Person,116 AV/67 ST,78409,2025/05/14,-12628596.6868,7089119.1931
Non-Violent,Property,Fraud - Financial,92 ST/96 ST,78410,2025/05/15,-12632728.7231,7084064.2068
Disorder,General Disorder,Trouble with Person,172 ST/64 AV,78411,2025/05/16,-12648169.4877,7076113.9024
Non-Violent,Property,Theft Under $5000,175 ST/99 AV,78412,2025/05/15,-12648364.4439,7082770.6713
Disorder,General Disorder,Trouble with Person,102 AV/158 ST,78413,2025/05/16,-12645211.8808,7084134.0101
Non-Violent,Property,Property Damage,115 ST/25 AV,78414,2025/05/16,-12637976.8596,7067844.3406
Non-Violent,Property,Theft Under $5000,109 ST/165 AV,78415,2025/05/16,-12635701.357,7099776.2189
Violent,Personal Violence,Assault,104 ST/80 AV,78416,2025/05/16,-12634498.1408,7079044.2089
Non-Violent,Property,Break and Enter Residential,116 ST/76 AV,78417,2025/05/12,-12638243.2936,7078315.9743
Non-Violent,Property,Theft Under $5000,48 AV/CALGARY TR,78418,2025/05/23,-12634194.1239,7073320.7994
Violent,Personal Violence,Assault,95 AV/CONNORS RD,78419,2025/05/23,-12631507.4508,7081966.5699
Non-Violent,Property,Theft Under $5000,101 ST/107 AV,78420,2025/05/24,-12634062.8729,7085651.9476
Non-Violent,Property,Theft Under $5000,91 ST SW/91 ST SW,78421,2025/05/24,-12631887.3804,7061715.1642
Disorder,General Disorder,Trouble with Person,112 AV/142 ST,78422,2025/05/18,-12642086.0894,7087352.4384
Non-Violent,Property,Theft Under $5000,218 ST/STONY PLAIN RD,78423,2025/05/24,-12656406.8876,7083812.0915
Non-Violent,Property,Break and Enter Residential,114 AV/95 ST,78424,2025/05/18,-12633333.381,7088060.2047
Violent,Personal Violence,Assault,105 ST/82 AV,78425,2025/05/18,-12634813.7965,7079409.5831
Disorder,Mischief/Graffiti,Mischief - Property,103 ST/98 AV,78426,2025/05/18,-12634477.2283,7082699.3354
Non-Violent,Property,Theft Under $5000,115 AV/115 AV,78427,2025/05/17,-12631038.0392,7088352.6045
Disorder,Provincial Statute Violations,Intoxicated Person,118 AV/WAYNE GRETZKY DR,78428,2025/05/16,-12629437.0817,7089204.2257
Violent,Personal Violence,Assault,99 ST/106 AV,78429,2025/05/18,-12633750.507,7085380.7162
Non-Violent,Property,Theft Under $5000,23 AV/23 AV,78430,2025/05/16,-12632504.477,7067238.8046
